year_month,coupon_bucket,smm_model,smm_actual,n_loans,cpr_model,cpr_actual,price
2022-01,2.5,0.5364073387699784,0.0,941,99.99014540845043,0.0,100.16666666666667
2022-01,3.0,0.5438476261966492,0.0031658927817644574,4738,99.99188442545778,3.7336134914361274,102.43712797619048
2022-01,3.5,0.5728616443801162,0.000513347022587269,1948,99.99631172872071,0.614280133734002,104.60528273809524
2022-01,4.0,0.6243465163184636,0.0,747,99.99921032380132,0.0,105.90438988095238
2022-01,4.5,0.6979923215472014,0.011363636363636364,88,99.99994242740317,12.81556335842884,106.88095238095238
2022-01,5.0,0.7319722874515652,0.0,19,99.99998625463112,0.0,108.99627976190476
2022-02,2.5,0.5190203289490986,0.004487179487179487,1560,99.98467075900442,5.253693577980901,98.359375
2022-02,3.0,0.5337488764860295,0.0020242914979757085,7904,99.98944547492712,2.4022862701791547,100.79765625
2022-02,3.5,0.5571594133713839,0.0024284943335132216,3706,99.9943118766093,2.875582515522057,102.9953125
2022-02,4.0,0.5948984099249323,0.004555808656036446,1756,99.99804670708778,5.332043894496508,104.80234375
2022-02,4.5,0.6606219683809408,0.00510204081632653,196,99.99976654417351,5.9535341219435045,105.95546875
2022-02,5.0,0.7057181304760691,0.0,43,99.99995781460922,0.0,108.25546875
2022-03,2.5,0.5037823193437622,0.0016233766233766235,1848,99.97771221991415,1.9307524038992718,96.67764945652173
2022-03,3.0,0.5149904636894048,0.0018119589289309443,9934,99.98305649192449,2.1528119729503525,99.0084918478261
2022-03,3.5,0.5303975740485576,0.0018704301989457576,5881,99.9884982484653,2.22156943621008,101.14572010869566
2022-03,4.0,0.563085367308315,0.0032168132103795838,4663,99.99516096148554,3.7926068423613235,103.0475543478261
2022-03,4.5,0.6073044897951348,0.0066844919786096255,748,99.99865515810266,7.732959483537016,104.45414402173913
2022-03,5.0,0.6677319455305499,0.004739336492890996,211,99.99981892309513,5.541276295512876,106.40964673913044
2022-03,5.5,0.7216270395481544,0.0,5,99.99997834667585,0.0,106.63790760869566
2022-04,2.5,0.47694841765796314,0.004038364462392731,1981,99.95806909429884,4.739837819316572,92.52529761904762
2022-04,3.0,0.47362543753041186,0.0023613866062151697,10587,99.95475832024624,2.797149509526131,95.41369047619048
2022-04,3.5,0.4953334708794764,0.0019738839963559063,6586,99.97270682719387,2.3431142025674534,98.0375744047619
2022-04,4.0,0.5167741570360886,0.0036625067824199676,7372,99.98378929778082,4.307548006485984,100.29203869047619
2022-04,4.5,0.5345183146901402,0.002796420581655481,1788,99.98965260146335,3.3045709894409026,102.25
2022-04,5.0,0.5691747109514702,0.001310615989515072,763,99.99591102686941,1.5614516552804325,103.76934523809524
2022-04,5.5,0.6284696075521045,0.0,40,99.99930827709649,0.0,104.64583333333333
2022-04,6.0,0.6803570503281978,0.0,17,99.9998862421026,0.0,105.11197916666667
2022-05,2.5,0.4650210066442301,0.0014691478942213516,2042,99.94504075593085,1.7488015945205437,91.42755681818181
2022-05,3.0,0.4603767348455411,0.0019051075024947837,11023,99.93903396019014,2.2623262027771873,94.7020596590909
2022-05,3.5,0.48115072774244894,0.0024927295388450354,7221,99.96193774249394,2.950603879008684,97.46306818181819
2022-05,4.0,0.5040151479155229,0.0024827897528495657,8861,99.97783738743506,2.9389985127902585,99.62677556818181
2022-05,4.5,0.5196553887969748,0.002623688155922039,2668,99.98491188190509,3.103388107651328,101.52911931818181
2022-05,5.0,0.5418060814580007,0.0026246719160104987,2286,99.99143767225169,3.104534986732743,103.2354403409091
2022-05,5.5,0.5926179703449274,0.004629629629629629,432,99.99791059605178,5.416255116420654,104.32848011363636
2022-05,6.0,0.6513071897731951,0.008733624454148471,229,99.99967691565722,9.991298128805804,104.68181818181819
2022-06,2.5,0.445805171266332,0.0014677103718199608,2044,99.91606373731697,1.7471042278337512,89.38991477272727
2022-06,3.0,0.4350449937211344,0.00255964896242801,10939,99.89427776460124,3.0287036871310846,92.7705965909091
2022-06,3.5,0.4554938550406817,0.001093344266776001,7317,99.93207440934304,1.304152152077187,95.85227272727273
2022-06,4.0,0.47784830391827704,0.002871794871794872,9750,99.9589266319805,3.3922399908070777,98.24573863636364
2022-06,4.5,0.49486239581448627,0.003582089552238806,3350,99.97239953485905,4.214823534840184,100.1044034090909
2022-06,5.0,0.507590348097981,0.0025348542458808617,3945,99.97968023479828,2.9997731804583205,101.8135653409091
2022-06,5.5,0.5374073841821391,0.0018575851393188853,1615,99.99039749919521,2.2064684868691398,103.39240056818181
2022-06,6.0,0.5792962355395199,0.002107481559536354,949,99.9969259085908,2.4998690673478485,104.34019886363636
2022-06,7.0,0.69888495538932,0.0,6,99.99994443651767,0.0,104.27911931818181
2022-07,2.5,0.4486607150794821,0.001487357461576599,2017,99.92110903586816,1.7703003679357954,91.05505952380952
2022-07,3.0,0.43751961115371385,0.0026256224535989134,11045,99.89970284320522,3.1056431228127956,94.171875
2022-07,3.5,0.45931530622627903,0.0020383204239706482,7359,99.93757926130633,2.4187486177492445,96.95535714285714
2022-07,4.0,0.48348219597607106,0.0031658092599920855,10108,99.96394018025467,3.733516700892514,99.0219494047619
2022-07,4.5,0.49836791899121363,0.002279202279202279,3510,99.9746122835501,2.7010164462670905,100.56287202380952
2022-07,5.0,0.5199066005125765,0.003790901835594573,5012,99.98500629983249,4.455422392947805,101.87574404761905
2022-07,5.5,0.5587316255139609,0.0029229082937522835,2737,99.99454953400611,3.4516493374471158,103.18489583333333
2022-07,6.0,0.615853514916454,0.005470459518599562,1828,99.99896732808648,6.370597945745571,104.35677083333333
